Rank,Title,Genre,Year
1,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",2014
2,Prometheus,"Adventure,Mystery,Sci-Fi",2012
3,Split,"Horror,Thriller",2016
4,Sing,"Animation,Comedy,Family",2016
5,Suicide Squad,"Action,Adventure,Fantasy",2016
6,The Great Wall,"Action,Adventure,Fantasy",2016
7,La La Land,"Comedy,Drama,Music",2016
8,Mindhorn,Comedy,2016
9,The Lost City of Z,"Action,Adventure,Biography",2016
10,Passengers,"Adventure,Drama,Romance",2016
11,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",2016
12,Hidden Figures,"Biography,Drama,History",2016
13,Rogue One,"Action,Adventure,Sci-Fi",2016
14,Moana,"Animation,Adventure,Comedy",2016
15,Colossal,"Action,Comedy,Drama",2016
16,The Office,"Comedy,Family",2016
17,The Office,"Comedy,Family",2016
18,The Office,"Comedy,Family",2016
19,The Office,"Comedy,Family",2016
20,The Office,"Comedy,Family",2016
21,The Office,"Comedy,Family",2016
22,The Office,"Comedy,Family",2016
23,The Office,"Comedy,Family",2016
24,The Office,"Comedy,Family",2016
25,The Office,"Comedy,Family",2016
26,The Office,"Comedy,Family",2016
27,The Office,"Comedy,Family",2016
28,The Office,"Comedy,Family",2016
29,The Office,"Comedy,Family",2016
30,The Office,"Comedy,Family",2016
31,Friends,"Comedy,Family",2016
32,Friends,"Comedy,Family",2016
33,Friends,"Comedy,Family",2016
34,Friends,"Comedy,Family",2016
35,Friends,"Comedy,Family",2016
36,Friends,"Comedy,Family",2016
37,Friends,"Comedy,Family",2016
38,Friends,"Comedy,Family",2016
39,Friends,"Comedy,Family",2016
40,Friends,"Comedy,Family",2016
41,Sausage Party,"Animation,Adventure,Comedy",2016
42,Moonlight,Drama,2016
43,Don't Fuck in the Woods,Horror,2016
44,The Founder,"Biography,Drama,History",2016
45,Lowriders,Drama,2016
46,Pirates of the Caribbean: On Stranger Tides,"Action,Adventure,Fantasy",2011
47,Miss Sloane,"Drama,Thriller",2016
48,Fallen,"Adventure,Drama,Fantasy",2016
49,Star Trek Beyond,"Action,Adventure,Sci-Fi",2016
50,The Last Face,Drama,2016
51,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Fantasy",2015
52,Underworld: Blood Wars,"Action,Adventure,Fantasy",2016
53,Mother's Day,"Comedy,Drama",2016
54,John Wick,"Action,Crime,Thriller",2014
55,The Dark Knight,"Action,Crime,Drama",2008
56,Silence,"Adventure,Drama,History",2016
57,Don't Breathe,"Crime,Horror,Thriller",2016
58,Me Before You,"Drama,Romance",2016
59,Their Finest,"Comedy,Drama,Romance",2016
60,Sully,"Biography,Drama",2016
61,Batman v Superman: Dawn of Justice,"Action,Adventure,Sci-Fi",2016
62,The Autopsy of Jane Doe,"Horror,Mystery,Thriller",2016
63,The Girl on the Train,"Crime,Drama,Mystery",2016
64,Fifty Shades of Grey,"Drama,Romance,Thriller",2015
65,The Prestige,"Drama,Mystery,Sci-Fi",2006
66,Kingsman: The Secret Service,"Action,Adventure,Comedy",2014
67,Patriots Day,"Drama,History,Thriller",2016
68,Mad Max: Fury Road,"Action,Adventure,Sci-Fi",2015
69,Wakefield,Drama,2016
70,Deepwater Horizon,"Action,Drama,Thriller",2016
71,The Promise,"Drama,History",2016
72,Allied,"Action,Drama,Romance",2016
73,A Monster Calls,"Drama,Fantasy",2016
74,Collateral Beauty,"Drama,Romance",2016
75,Zootopia,"Animation,Adventure,Comedy",2016
76,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy",2007
77,The Avengers,"Action,Sci-Fi",2012
78,Inglourious Basterds,"Adventure,Drama,War",2009
79,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy",2006
80,Ghostbusters,"Action,Comedy,Fantasy",2016
81,Inception,"Action,Adventure,Sci-Fi",2010
82,Captain Fantastic,"Comedy,Drama",2016
83,The Wolf of Wall Street,"Biography,Comedy,Crime",2013
84,Gone Girl,"Crime,Drama,Mystery",2014
85,Furious Seven,"Action,Crime,Thriller",2015
86,Jurassic World,"Action,Adventure,Sci-Fi",2015
87,Live by Night,"Crime,Drama",2016
88,Avatar,"Action,Adventure,Fantasy",2009
89,The Hateful Eight,"Crime,Drama,Mystery",2015
90,The Accountant,"Action,Crime,Drama",2016
91,Prisoners,"Crime,Drama,Mystery",2013
92,Warcraft,"Action,Adventure,Fantasy",2016
93,The Help,Drama,2011
94,War Dogs,"Comedy,Crime,Drama",2016
95,Avengers: Age of Ultron,"Action,Adventure,Sci-Fi",2015
96,The Nice Guys,"Action,Comedy,Crime",2016
97,Kimi no na wa,"Animation,Drama,Fantasy",2016
98,The Void,"Horror,Mystery,Sci-Fi",2016
99,Personal Shopper,"Drama,Mystery,Thriller",2016
100,The Departed,"Crime,Drama,Thriller",2006
101,Legend,"Biography,Crime,Drama",2015
102,Thor,"Action,Adventure,Fantasy",2011
103,The Martian,"Adventure,Drama,Sci-Fi",2015
104,Contratiempo,"Crime,Mystery,Thriller",2016
105,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",2015
106,Hell or High Water,"Crime,Drama,Thriller",2016
107,The Comedian,Comedy,2016
108,The Legend of Tarzan,"Action,Adventure,Drama",2016
109,All We Had,Drama,2016
110,Ex Machina,"Drama,Mystery,Sci-Fi",2014
111,The Belko Experiment,"Action,Horror,Thriller",2016
112,12 Years a Slave,"Biography,Drama,History",2013
113,The Bad Batch,"Romance,Sci-Fi",2016
114,300,"Action,Fantasy,War",2006
115,Harry Potter and the Deathly Hallows: Part 2,"Adventure,Drama,Fantasy",2011
116,Office Christmas Party,Comedy,2016
117,The Neon Demon,"Horror,Thriller",2016
118,Dangal,"Action,Biography,Drama",2016
119,10 Cloverfield Lane,"Drama,Horror,Mystery",2016
120,Finding Dory,"Animation,Adventure,Comedy",2016
